player_id,match_id,hero,headshot_rate,accuracy,kills,deaths,damage_done,healing_done,objective_time,reaction_time_ms,actions_per_minute,position_changes,survival_rate,ultimate_efficiency,account_age_days,win_loss,kd_ratio,report_count,suspicious_flags,cheat_label,win_rate
N0000,M00001,Ashe,0.3227143511361088,0.5624899668734903,19.08181278539735,8.997816644241905,2397.4359186585025,1401.0857872117472,68.40711654363932,251.00878570420375,160.27169088058304,36.28177550452657,0.7000727785252698,0.6014008905776931,975,win,2.1207158958510934,0,0,normal,100.0
N0000,M00002,Ana,0.27192593093665407,0.5835683517281046,23.465642922037404,13.438612174961046,7530.094212785742,3000.0,78.6946214516511,233.13016097236905,168.3557025411336,66.93467441697837,0.5520462608346318,0.49300316669597977,975,win,1.7461358819297441,0,0,normal,100.0
N0000,M00003,Tracer,0.34241718269343707,0.4771544856263539,15.03137622562691,3.9070002299185296,7016.073778181725,2337.6582848285752,89.22918959171726,249.3147628182299,161.04094539038317,59.770155235790156,0.85,0.6308667722022795,975,win,2.5,1,0,normal,100.0
N0000,M00004,Winston,0.30814515836211415,0.4719755187394507,16.059903181451517,6.213793118437053,6452.144392239039,1668.403035918664,54.56663023501625,231.87475195018976,149.52670462830596,30.644276517285,0.7928735627187649,0.6103785922224785,975,loss,2.5,0,0,normal,75.0
N0000,M00005,Sojourn,0.32294426153262845,0.34742514638889466,14.248374218094936,10.933129164970387,5738.227433325531,1733.6773859151922,24.31023781428285,223.6315242584151,140.10119428861114,46.94228681294877,0.6355623611676537,0.5619090617622097,975,loss,1.303229295392078,1,0,normal,60.0
N0000,M00006,Hanzo,0.3221081894435605,0.4979151882748283,16.30002276197645,9.701330910668414,8249.755016267105,3154.3422531742044,62.702344466841055,234.45239902938707,176.88101987328835,55.590399490422925,0.6766223029777195,0.6158938773811912,975,loss,1.6801841842186365,0,0,normal,40.0
N0000,M00007,Sombra,0.3063955324133708,0.3739623606578653,11.298472424423224,9.75314443425669,9194.956021032782,3194.121452826307,72.03397112864127,237.0093274673756,193.8113427760962,48.52440744987875,0.674895185524777,0.6794764162048266,975,win,1.1584440793000834,0,0,normal,40.0
N0001,M00008,Soldier: 76,0.16401436422698001,0.38334814689114455,10.815069463261304,13.64361469715411,8025.756279348585,363.79909836857973,61.74447966670078,228.98116809663264,172.72329962174427,28.293729302765044,0.5452128434281963,0.6720863004315458,222,loss,0.8,0,0,normal,0.0
N0001,M00009,Ana,0.23325059795808165,0.41205621330995845,7.292296659220257,12.502270104250247,5959.532062184017,3000.0,44.429687900833684,279.0258270306965,154.26639197557878,45.12690522545415,0.5832576631916584,0.662917617472408,222,win,0.8,1,0,normal,50.0
N0001,M00010,Mercy,0.4191668744293952,0.3506355104554635,17.547778318653833,12.696332733929017,7925.063735764019,3000.0,21.638477881800597,250.57859105879697,131.6260314657329,64.97733251524932,0.5767889088690328,0.5181034185386599,222,loss,1.3821139289899096,0,0,normal,33.33
N0001,M00011,Widowmaker,0.2649959449019184,0.6,17.954274863656632,8.20903729689433,7089.752585474911,908.7449774460988,60.26203080133478,273.56633213266065,150.64471756866806,44.64531979695871,0.7263654234368557,0.5226821314222594,222,win,2.187135252808408,1,0,normal,50.0
N0001,M00012,Genji,0.2374158636346404,0.37281014529667694,9.034639369750478,12.983319398296823,7655.440734847882,755.3579196463772,46.62786746339653,252.62947396635644,151.5808891001802,48.62423994914027,0.5672226867234392,0.6034709336172076,222,loss,0.8,0,0,normal,40.0
N0001,M00013,Sojourn,0.24691608385003652,0.42780636013200796,15.503346472528378,18.955204427758364,11247.51400608572,2043.43918132315,63.68722784274239,293.5773860211424,182.81507030550065,32.55753103876726,0.3681598524080545,0.5806899135970106,222,loss,0.8178939209869444,0,0,normal,40.0
N0001,M00014,Sigma,0.2533962595117449,0.3890464146076499,18.821731602913196,15.574767839178982,8584.553301891114,2972.4621711433956,46.98766018063281,201.32241547853204,174.94141135634698,39.82812544912354,0.48084107202736726,0.6875345331391475,222,win,1.2084759013592705,0,0,normal,40.0
N0001,M00015,Widowmaker,0.20486271240750442,0.5001316180646882,17.57128979616317,13.860860810881501,8297.106669501005,1104.805983522825,15.969388281480654,193.95974555952725,121.38550045269336,30.832067805570194,0.53797130630395,0.6239982242841846,222,win,1.2676910933532202,1,0,normal,60.0
N0001,M00016,Tracer,0.2572338388091505,0.408313329376897,17.874984877593768,14.699138010948898,6621.2834050953925,1514.2779720744893,55.45240421817327,254.18099958866128,136.40402745529897,14.870133093185792,0.51002873296837,0.5903707243980529,222,loss,1.2160566738185115,1,0,normal,40.0
N0001,M00017,Mercy,0.22290681381248192,0.567580837969295,6.894952580557751,17.889859362654228,6554.202195072031,3000.0,54.068704800088234,217.15444009654908,188.60927620384354,25.33109070907623,0.40367135457819237,0.5903672635644892,222,win,0.8,0,0,normal,60.0
N0001,M00018,Moira,0.2579586314711586,0.3524826353842888,10.859765249386257,16.614352948010172,5343.742234515256,3000.0,40.647252310425124,261.8805317102061,171.80367433523702,41.67450489537019,0.44618823506632765,0.586166856990633,222,loss,0.8,0,0,normal,60.0
N0001,M00019,Sigma,0.30024436236432706,0.4317775130870178,14.31248618858356,9.126006450031005,8191.468708348398,0.0,45.7326592061064,220.43371584344789,149.67558550290377,53.711452136025464,0.6957997849989666,0.5182441377643427,222,win,1.5683186579968869,0,0,normal,60.0
N0001,M00020,McCree,0.3010010438212891,0.454303018533806,18.676522366231787,13.458106248952653,7991.5984804483505,640.9167075415203,54.96176560984846,207.2348552109789,157.29467840115754,32.37284191360247,0.5513964583682449,0.48266360366641314,222,win,1.387752631815137,3,0,normal,60.0
N0001,M00021,Sojourn,0.21737113403533276,0.4328323443350483,16.812898155025287,8.602739834437646,6247.243285021184,11.382559077248061,65.60523923766766,195.7786829116611,166.53864583800862,24.918445898780856,0.7132420055187452,0.5547969373852083,222,win,1.9543655252390104,0,0,normal,80.0
N0001,M00022,Hanzo,0.41072377110743075,0.34933257410447516,12.748641700579753,10.288797273653579,5390.8190524287165,1845.7840043711183,66.14977955468292,226.21375376970263,203.02878844754312,38.74464218106508,0.657040090878214,0.508650263755261,222,loss,1.2390798809132992,1,0,normal,60.0
N0001,M00023,Widowmaker,0.2485070979524846,0.305448246673655,27.530417173364352,13.901712239367141,7113.6561524508315,829.0790498826386,49.20771279237546,275.7359363903687,144.89562766975422,48.00441603420467,0.5366095920210954,0.5822608658147388,222,loss,1.9803616057742282,3,0,normal,60.0
N0001,M00024,Genji,0.32215219784005716,0.48629068992262386,16.819617698497026,8.603668152987602,8406.2655993958,297.90225630535747,40.558224129965865,214.15009507181418,162.44120604491357,56.889259311644295,0.7132110615670799,0.6231697929929472,222,loss,1.954935662256622,0,0,normal,40.0
N0002,M00025,Genji,0.24284759772576936,0.466011202402023,17.763263563511693,10.126844320320444,5343.468190655671,0.0,56.66601238116348,211.3062401729876,152.25349084334857,44.348838297349815,0.6624385226559852,0.6024147853720966,902,loss,1.754076887295292,0,0,normal,0.0
N0002,M00026,Mercy,0.37206281116850676,0.4596787916030764,17.682804215511997,6.119014242423478,5761.750392153741,3000.0,42.841108336983446,268.8552867564995,171.78514515184082,16.808710185409915,0.796032858585884,0.5552104676907366,902,win,2.5,0,0,normal,50.0
N0002,M00027,Sojourn,0.23991361136885694,0.3358997186932001,18.77197618694208,15.088079584831721,8128.118190052017,888.8341256695606,20.316380716717415,252.72851103190274,192.20701623750156,55.79960322833445,0.4970640138389426,0.5863574427690309,902,loss,1.244159409512516,1,0,normal,33.33
N0002,M00028,Zenyatta,0.2547232961115875,0.43668959498247,14.545115636850735,12.793967470519034,7926.743819783118,1145.03322076269,71.22248933333844,199.84917117102137,148.05143526980433,38.2032776652883,0.5735344176493655,0.7858016847257976,902,win,1.1368729575377496,0,0,normal,50.0
N0002,M00029,Moira,0.35571710451020794,0.3,13.339933258222837,11.3847428301344,7215.659107709389,3000.0,36.40768299292045,201.52718556962995,187.14081534384607,40.409886189173235,0.6205085723288534,0.6119409867896906,902,loss,1.1717377772393087,0,0,normal,40.0
N0002,M00030,Ashe,0.28804258476626654,0.46532479290849016,14.069097204447088,13.789683573855395,6577.210854698338,959.959149846866,48.82893169199536,252.65782763928667,174.65478083626118,41.714049274815736,0.5403438808714869,0.5991754193719835,902,loss,1.0202625121232982,0,0,normal,40.0
N0002,M00031,Mercy,0.2657234193254108,0.46669122829753484,12.276868103528892,21.164719498805034,7803.325532842659,3678.4515028643364,67.53165110658966,213.3089823715748,158.89848566132767,34.47179802069973,0.29450935003983214,0.5361713878266705,902,loss,0.8,0,0,normal,20.0
N0002,M00032,Mercy,0.19761864088811704,0.4773355831982502,18.410230395608874,12.042649288791168,7653.61863912803,3000.0,57.72307883004426,228.56143320833135,146.94714415998766,38.08915860577745,0.5985783570402944,0.6083494368802027,902,loss,1.528752515673142,0,0,normal,20.0
N0002,M00033,Sojourn,0.2509721733577888,0.5574665513978195,18.45783839869777,8.60243666210304,5492.1472257959085,3342.241428207884,65.15126005428075,280.71712473946997,137.40772160372026,48.258625171806884,0.713252111263232,0.62719082515862,902,loss,2.145652345225798,0,0,normal,0.0
